id,japanese_name,scientific_name,order_name_ja,order_name_en,family_name_ja,family_name_en,genus_name,species_name,subspecies_name,distribution,note
1,アズミトガリネズミ,Sorex hosonoi,食虫目,Insectivora,トガリネズミ科,Soricidae,,,,本州中部地方の高山帯,
2,シントウトガリネズミ,Sorex shinto,食虫目,Insectivora,トガリネズミ科,Soricidae,,,,本州・四国の山地、佐渡島,
3,カワネズミ,Chimarrogale platycephala,食虫目,Insectivora,トガリネズミ科,Soricidae,,,,本州・九州の渓流,
4,ワタセジネズミ,Crocidura watasei,食虫目,Insectivora,トガリネズミ科,Soricidae,,,,奄美諸島、沖縄諸島,
5,ニホンジネズミ,Crocidura dsinezumi,食虫目,Insectivora,トガリネズミ科,Soricidae,,,,本州・四国・九州及び隣接する島嶼、北海道と済州島（韓国）に移入,
6,オリイジネズミ,Crocidura orii,食虫目,Insectivora,トガリネズミ科,Soricidae,,,,奄美大島・徳之島,
7,ヒメヒミズ,Dymecodon pilirostris,食虫目,Insectivora,モグラ科,Talpidae,,,,本州・四国・九州の山地,
8,ヒミズ,Urotrichus talpoides,食虫目,Insectivora,モグラ科,Talpidae,,,,本州・四国・九州・対馬・屋久島など,
9,ミズラモグラ,Euroscaptor mizura,食虫目,Insectivora,モグラ科,Talpidae,,,,本州の山地,
10,アズマモグラ,Mogera imaizumii,食虫目,Insectivora,モグラ科,Talpidae,,,,本州東部、紀伊半島、中国地方・四国などの山地,
11,コウベモグラ,Mogera wogura,食虫目,Insectivora,モグラ科,Talpidae,,,,本州西部、九州、四国、対馬、屋久島等,
12,サドモグラ,Mogera tokudae,食虫目,Insectivora,モグラ科,Talpidae,,,,佐渡島,
13,エチゴモグラ,Mogera etigo,食虫目,Insectivora,モグラ科,Talpidae,,,,越後平野,
14,センカクモグラ,Mogera uchidai,食虫目,Insectivora,モグラ科,Talpidae,,,,尖閣諸島魚釣島,
15,オキナワオオコウモリ,Pteropus loochoensis,翼手目,Chiroptera,オオコウモリ科,Pteropodidae,,,,沖縄本島で記録があるが絶滅したとされる,
16,オガサワラオオコウモリ,Pteropus pselaphon,翼手目,Chiroptera,オオコウモリ科,Pteropodidae,,,,小笠原諸島,
17,コキクガシラコウモリ,Rhinolophus cornutus,翼手目,Chiroptera,キクガシラコウモリ科,Rhinolophidae,,,,北海道、本州、四国、九州、奄美諸島、及び隣接する島嶼,
18,オキナワコキクガシラコウモリ,Rhinolophus pumilus,翼手目,Chiroptera,キクガシラコウモリ科,Rhinolophidae,,,,沖縄諸島、宮古諸島,
19,ヤエヤマコキクガシラコウモリ,Rhinolophys perditus,翼手目,Chiroptera,キクガシラコウモリ科,Rhinolophidae,,,,八重山諸島,
20,カグラコウモリ,Hipposideros turpis,翼手目,Chiroptera,カグラコウモリ科,Hipposideridae,,,,八重山諸島,
21,クビワコウモリ,Eptesicus japonensis,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,本州中部地方,
22,コヤマコウモリ,Nyctalus furvus,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,本州中部地方と東北地方,
23,モリアブラコウモリ,Pipistrellus endoi,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,本州東北・中部・近畿・中国地方、四国,
24,オガサワラアブラコウモリ,Pipistrellus sturdeei,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,小笠原諸島母島で記録があるが絶滅したとされる,
25,ニホンウサギコウモリ,Plecotus sacrimontis,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,北海道、本州、四国、九州,
26,クロホオヒゲコウモリ,Myotis pruinosus,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,本州、四国、九州,
27,ヤンバルホオヒゲコウモリ,Myotis yanbarensis,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,奄美大島、徳之島、沖縄島,
28,リュウキュウユビナガコウモリ,Miniopterus fuscus,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,奄美諸島、沖縄諸島、石垣島、西表島,
29,リュウキュウテングコウモリ,Murina ryukyuana,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,奄美大島、徳之島、沖縄島,
30,クチバテングコウモリ,Murina tenebrosa,翼手目,Chiroptera,ヒナコウモリ科,Vespertilionidae,,,,対馬,
31,ニホンザル,Macaca fuscata,霊長目,Primates,オナガザル科,Cercopithecidae,,,,本州、四国、九州、屋久島,
32,ヤマネ,Glirulus japonicus,齧歯目,Rodentia,ヤマネ科,Gliridae,,,,本州、四国、九州,
33,ヤチネズミ,Eothenomys andersoni,齧歯目,Rodentia,ネズミ科,Muridae,,,,本州中部地方以東の山地、紀伊半島,
34,スミスネズミ　,Eothenomys smithii,齧歯目,Rodentia,ネズミ科,Muridae,,,,本州西部、四国、九州,
35,ハタネズミ,Microtus montebelli,齧歯目,Rodentia,ネズミ科,Muridae,,,,本州（紀伊半島を除く）、九州,
36,アマミトゲネズミ,Tokudaia osimensis,齧歯目,Rodentia,ネズミ科,Muridae,,,,奄美大島,
37,オキナワトゲネズミ,Tokudaia muenninki,齧歯目,Rodentia,ネズミ科,Muridae,,,,沖縄島,
38,トクノシマトゲネズミ,Tokudaia tokunosimensis,齧歯目,Rodentia,ネズミ科,Muridae,,,,徳之島,
39,アカネズミ,Apodemus speciosus,齧歯目,Rodentia,ネズミ科,Muridae,,,,北海道、本州、四国、九州、及び隣接する島嶼,
40,ヒメネズミ,Apodemus argenteus,齧歯目,Rodentia,ネズミ科,Muridae,,,,北海道、本州、四国、九州、及び隣接する島嶼,
41,ケナガネズミ,Diplothrix legata,齧歯目,Rodentia,ネズミ科,Muridae,,,,奄美大島、徳之島、沖縄島,
42,ニホンリス,Sciurus lis,齧歯目,Rodentia,リス科,Sciuridae,,,,本州、四国,
43,ムササビ,Petaurista leucogenys,齧歯目,Rodentia,リス科,Sciuridae,,,,本州、四国、九州,
44,ニホンモモンガ,Pteromys mononga,齧歯目,Rodentia,リス科,Sciuridae,,,,本州、四国、九州,
45,アマミノクロウサギ,Pentalagus furnessi,兎形目,Lagomorpha,ウサギ科,Leporidae,,,,奄美大島、徳之島,
46,ニホンノウサギ,Lepus brachyurus,兎形目,Lagomorpha,ウサギ科,Leporidae,,,,本州、四国、九州,
47,ニホンイタチ,Mustela itatsi,食肉目,Carnivora,イタチ科,Mustelidae,,,,本州、四国、九州、北海道等に移入,
48,ニホンテン,Martes melampus,食肉目,Carnivora,イタチ科,Mustelidae,,,,本州、四国、九州、北海道等に移入,
49,ニホンアナグマ　,Meles anakuma,食肉目,Carnivora,イタチ科,Mustelidae,,,,本州、四国、九州,
50,ニホンカモシカ,Capricornis crispus,偶蹄目,Artiodactyla,ウシ科,Bovidae,,,,本州、四国、九州,
51,ヤマドリ,Syrmaticus soemmerringii (Temminck、 1830),キジ目,,キジ科,Phasianidae,,,,本州、四国、九州,
52,ヤンバルクイナ,Gallirallus okinawae (Yamashina & Mano、 1981),ツル目,Gruiformes,クイナ科,Rallidae,,,,沖縄島,
53,アマミヤマシギ,Scolopax mira Hartert、 1916,,,シギ科,Scolopacidae,,,,奄美諸島,
54,アオゲラ,Picus awokera Temminck、 1836,,,キツツキ科,Picidae,,,,本州、四国、九州、屋久島、種子島,
55,ノグチゲラ,Sapheopipo noguchii (Seebohm、 1887),,,キツツキ科,Picidae,,,,沖縄島,
56,ルリカケス,Garrulus lidthi Bonaparte、 1850,,,カラス科,Corvidae,,,,奄美諸島,
57,メグロ,Apalopteron familiare (Kittlitz、 1830),,,メジロ科,Zosteropidae,,,,小笠原,
58,アカコッコ,Turdus celaenops Stejneger、 1887,,,ヒタキ科,Muscicapidae,,,,伊豆諸島、トカラ列島,
59,アカヒゲ,Luscinia komadori (Temminck、 1835),,,ヒタキ科,Muscicapidae,,,,男女群島、南西諸島,
60,カヤクグリ,Prunella rubida (Temminck & Schlegel、 1845),,,イワヒバリ科,Prunellidae,,,,南千島から九州まで,
61,セグロセキレイ,Motacilla grandis Sharpe、 1885,,,セキレイ科,Motacillidae,,,,北海道から九州,韓国、台湾、中国での記録有り
62,オガサワラカラスバト,Columba versicolor Kittlitz、 1832,,,ハト科,Columbidae,,,,父島、媒島,
63,リュウキュウカラスバト,Columba jouyi (Stejneger、 1887),,,ハト科,Columbidae,,,,沖縄諸島、大東諸島,
64,ミヤコショウビン,Todiramphus miyakoensis (Kuroda、 1919),,,カワセミ科,Alcedinidae,,,,宮古島,タイプ標本1点のみで実在したか疑問視されている
65,オガサワラガビチョウ,Cichlopasser terrestris (Kittlitz、 1830)　,,,ヒタキ科,Muscicapidae,,,,小笠原,
66,オガサワラマシコ,Chaunoproctus ferreorostris (Vigors、 1829),,,アトリ科,Fringillidae,,,,父島,
67,アホウドリ,Phoebastria albatrus (Pallas、 1769),,,アホウドリ科,Diomedeidae,,,,鳥島、尖閣諸島で繁殖,ハワイで繁殖記録あり
68,オガサワラヒメミズナギドリ,Puffinus bryani Pyle、 Welch & Fleischer、 2011,,,ミズナギドリ科,Procellariidae,,,,小笠原諸島の東島で繁殖,
69,ミゾゴイ,Gorsachius goisagi (Temminck、 1836),,,サギ科,Ardeidae,,,,本州、佐渡、隠岐、四国、九州,済州島での繁殖記録ある？
70,メボソムシクイ,Phylloscopus xanthodryas (Swinhoe、 1863),,,ムシクイ科,Phylloscopidae,,,,本州、四国、九州で繁殖,
71,イイジマムシクイ,Phylloscopus ijimae (Stejneger、 1892),,,ムシクイ科,Phylloscopidae,,,,伊豆諸島、トカラ列島で繁殖,
72,ノジコ,Emberiza sulphurata Temminck & Schlegel、 1848,,,ホオジロ科,Emberizidae,,,,本州北中部で繁殖,
73,ニホンイシガメ,Mauremys japonica,カメ目,Testudines,イシガメ科,Geoemydidae,,,,関東・甲信以西の本州、四国、九州と周辺島嶼,
74,ヤエヤマイシガメ,Mauremys mutica kami,カメ目,Testudines,イシガメ科,Geoemydidae,,,,石垣島、西表島、与那国島,固有亜種
75,ヤエヤマセマルハコガメ,Cuora flavomarginata evelynae,カメ目,Testudines,イシガメ科,Geoemydidae,,,,石垣島、西表島,固有亜種
76,リュウキュウヤマガメ,Geoemyda japonica,カメ目,Testudines,イシガメ科,Geoemydidae,,,,沖縄島、久米島、渡嘉敷島,
77,オビトカゲモドキ,Goniurosaurus splendens,トカゲ亜目,Lacertilia,トカゲモドキ科,Eublepharidae,,,,徳之島,
78,クロイワトカゲモドキ,Goniurosaurus kuroiwae,トカゲ亜目,Lacertilia,トカゲモドキ科,Eublepharidae,,,,沖縄諸島,5亜種（クロイワトカゲモドキ、マダラトカゲモドキ、クメトカゲモドキ、イヘヤトカゲモドキ、ケラマトカゲモドキ）
79,アマミヤモリ,Gekko vertebralis,トカゲ亜目,Lacertilia,ヤモリ科,Gekkonidae,,,,小宝島、奄美群島,
80,タカラヤモリ,Gekko shibatai,トカゲ亜目,Lacertilia,ヤモリ科,Gekkonidae,,,,小宝島近くの小島、宝島,
81,タワヤモリ,Gekko tawaensis,トカゲ亜目,Lacertilia,ヤモリ科,Gekkonidae,,,,本州、四国、九州の瀬戸内海沿岸,
82,ヤクヤモリ,Gekko yakuensis,トカゲ亜目,Lacertilia,ヤモリ科,Gekkonidae,,,,九州南部、屋久島、種子島、馬毛島,
83,オキナワキノボリトカゲ,Japalura polygonata polygonata,トカゲ亜目,Lacertilia,アガマ科,Agamidae,,,,奄美群島、沖縄諸島,固有亜種
84,サキシマキノボリトカゲ,Japalura polygonata ishigakiensis,トカゲ亜目,Lacertilia,アガマ科,Agamidae,,,,宮古諸島、八重山諸島（与那国島除く）,固有亜種
85,ヨナグニキノボリトカゲ,Japalura polygonata donan,トカゲ亜目,Lacertilia,アガマ科,Agamidae,,,,与那国島,固有亜種
86,オガサワラトカゲ,Cryptoblepharus nigropunctatus,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,小笠原諸島、鳥島、南鳥島,
87,サキシマスベトカゲ,Scincella boettgeri,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,宮古諸島、八重山諸島,
88,イシガキトカゲ,Plestiodon stimpsonii,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,八重山諸島,
89,オオシマトカゲ,Plestiodon oshimensis,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,奄美群島、宝島、小宝島、諏訪之瀬島,
90,オカダトカゲ,Plestiodon latiscutatus,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,伊豆半島、伊豆諸島（青ヶ島以北）,
91,オキナワトカゲ,Plestiodon marginatus ,トカゲ亜目,Lacertilia,トカゲ科,Scincidae,,,,沖縄諸島、与論島、沖永良部島、中之島,
